topic_id,size,name,keywords
-1,217,-1_revolut_card_tap_transfer,
0,60,0_insurance_claim_trip_cover,"insurance, claim, trip, cover, travel, policy, coverage, covered, search, travel insurance"
1,49,1_card_payment_pay_transaction,"card, payment, pay, transaction, payments, declined, money, contactless, tap, merchant"
2,46,2_order_price_orders_stock,"order, price, orders, stock, stop, trading, market, buy, sell, limit"
3,33,3_document_documents_passcode_identity,"document, documents, passcode, identity, selfie, email, verification, account, verify, log"
4,29,4_account_joint_joint account_close,"account, joint, joint account, close, moved, revolut, revolut bank, close account, accounts, account moved"
5,26,5_block_scammers_phone_card,"block, scammers, phone, card, report, freeze, use, fraudulent, fraud, legitimate"
6,26,6_fees_fee_limits_trading,"fees, fee, limits, trading, withdrawal, exchange, charged, limit, allowance, tier"
7,20,7_purchases_reward_referrals_campaign,"purchases, reward, referrals, campaign, invitee, card, make, step, deadline, card payments"
8,19,8_supported_currencies_countries_currently,"supported, currencies, countries, currently, republic, card, cards, unsupported, visa, ukraine"
9,18,9_crypto_address_network_deposit,"crypto, address, network, deposit, transaction, networks, blockchain, addresses, wallet, send"
10,18,10_kids_teens_kids teens_teens account,"kids, teens, kids teens, teens account, kid, revolut kids, account, child, app, teens card"
11,17,11_transfer_days_reverted_bank,"transfer, days, reverted, bank, business days, business, case, dispute, funds, transfers"
12,17,12_revpoints_points_airline_booking,"revpoints, points, airline, booking, miles, redeem, revpoints menu, loyalty, gift, fast"
13,17,13_subscription_benefit_access_ultra,"subscription, benefit, access, ultra, ultra customers, metal, metal ultra, customers, premium, activate"
14,15,14_etps_investment_underlying_crypto,"etps, investment, underlying, crypto, exchangetraded, invest, investments, assets, asset, investor"
15,15,15_plan_downgrade_billing_paid plan,"plan, downgrade, billing, paid plan, paid, mobile plan, mobile, monthly, plan tap, plan termshttpswwwrevolutcomlegalpaidplansgeoredirecttrue"
16,15,16_crypto_staking_revolut_web,"crypto, staking, revolut, web, tokens, balance, fiat, ramp, terminal, learn"
17,15,17_transfer_cancel_scheduled_recipient,"transfer, cancel, scheduled, recipient, tap, beneficiary, scheduled transfer, category, sent, direct"
18,15,18_support_gambling_advice_circumstances,"support, gambling, advice, circumstances, chat, complaint, vulnerable, help, form, financial"
19,13,19_fscs_protected_bank_savings,"fscs, protected, bank, savings, compensation, money, account, revolut, scheme, funds"
20,13,20_tax_national_identification_number,"tax, national, identification, number, national id, information, country, identification number, id, provide"
21,13,21_bank_transfer_bank transfer_money,"bank, transfer, bank transfer, money, account, external, transfers, salary, external bank, joint account"
22,11,22_card_delivery_cards_design,"card, delivery, cards, design, order, physical, physical card, standard, new, customisation"
23,11,23_esim_data_plan_mobile,"esim, data, plan, mobile, number, plans, esim data, sim, purchase, mobile plan"
24,10,24_currency_exchange_language_balance,"currency, exchange, language, balance, currency account, details, account, choose, transaction, charged"
25,10,25_statement_documents_statements_download,"statement, documents, statements, download, documents statements, consolidated, confirmation, document, select documents, generated"
26,9,26_pocket_pockets_group_group pocket,"pocket, pockets, group, group pocket, choose, tap, money, recurring, tap accounts, set"
27,9,27_security_street mode_street_mode,"security, street mode, street, mode, trusted, location, locations, access, device, app"
